-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: latitude  22.28   longitude 114.16 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2025,1,1,1.831,3.773
2025,1,2,2.754,4.3771
2025,1,3,4.4503,4.4587
2025,1,4,3.641,4.3934
2025,1,5,3.5014,4.235
2025,1,6,4.5883,4.6157
2025,1,7,3.3017,3.9425
2025,1,8,3.9396,4.242
2025,1,9,4.1102,4.1645
2025,1,10,4.2787,4.3181
2025,1,11,4.1491,4.217
2025,1,12,5.0198,5.0369
2025,1,13,3.9994,4.2168
2025,1,14,2.4178,4.507
2025,1,15,4.3298,4.5461
2025,1,16,4.2684,4.2926
2025,1,17,4.6109,4.6476
2025,1,18,4.5233,4.5866
2025,1,19,4.6133,4.6219
2025,1,20,4.7138,4.7398
2025,1,21,3.2378,4.1695
2025,1,22,2.3213,4.5038
2025,1,23,2.5349,4.7642
2025,1,24,4.6771,4.8269
2025,1,25,4.1066,4.8454
2025,1,26,1.1686,4.4107
2025,1,27,5.1967,5.2502
2025,1,28,5.1934,5.2481
2025,1,29,4.1554,4.6778
2025,1,30,4.4537,4.9651
2025,1,31,3.0317,4.6056
2025,2,1,2.4878,5.0988
2025,2,2,2.5934,4.8432
2025,2,3,1.6678,4.7873
2025,2,4,4.6291,4.7642
2025,2,5,4.2233,5.0129
2025,2,6,2.6575,4.8413
2025,2,7,1.6541,4.4285
2025,2,8,4.4114,5.1809
2025,2,9,5.2721,5.2944
2025,2,10,4.9759,5.1895
2025,2,11,3.5491,5.0849
2025,2,12,1.6884,5.3626
2025,2,13,2.2639,4.5108
2025,2,14,2.3947,5.0302
2025,2,15,3.4738,5.5152
2025,2,16,4.9282,5.244
2025,2,17,3.9055,5.4134
2025,2,18,3.6823,4.6882
2025,2,19,3.4133,5.0568
2025,2,20,3.9202,5.3935
2025,2,21,2.4288,5.2582
2025,2,22,1.8418,5.0762
2025,2,23,2.1211,5.3534
2025,2,24,4.5518,5.4559
2025,2,25,2.477,5.2661
2025,2,26,2.4,4.9822
2025,2,27,4.8919,5.6794
2025,2,28,5.7756,6.2222
2025,3,1,3.1234,6.0336
2025,3,2,4.0812,6.1699
2025,3,3,3.4634,6.0466
2025,3,4,1.9186,5.6966
2025,3,5,1.2108,5.0904
2025,3,6,1.3872,5.2918
2025,3,7,0.9715,4.6997
2025,3,8,4.1129,5.9146
2025,3,9,4.8773,5.6429
2025,3,10,3.6845,5.7607
2025,3,11,3.4183,6.288
2025,3,12,3.3403,6.1296
2025,3,13,4.901,6.359
2025,3,14,2.742,6.2218
2025,3,15,3.2575,5.6779
2025,3,16,5.0621,5.5774
2025,3,17,2.5094,4.914
2025,3,18,2.7979,4.8118
2025,3,19,6.4543,6.551
2025,3,20,6.5054,6.7265
2025,3,21,6.3398,6.371
2025,3,22,6.6043,6.6754
2025,3,23,6.6365,6.6482
2025,3,24,6.4615,6.4879
2025,3,25,6.2419,6.3026
2025,3,26,6.1332,6.2095
2025,3,27,4.6236,6.7795
2025,3,28,3.1231,6.1968
2025,3,29,1.2012,6.2023
2025,3,30,1.0397,5.2327
2025,3,31,1.5228,5.8051
2025,4,1,3.8479,5.5238
2025,4,2,6.0713,6.179
2025,4,3,6.3019,6.4051
2025,4,4,3.4442,5.7778
2025,4,5,1.0661,5.161
2025,4,6,3.2105,5.6851
2025,4,7,5.7398,6.0816
2025,4,8,3.8376,6.5546
2025,4,9,5.4938,6.5918
2025,4,10,5.2488,6.4632
2025,4,11,3.0593,6.5417
2025,4,12,1.867,6.245
2025,4,13,3.8462,6.3643
2025,4,14,6.4918,7.2804
2025,4,15,7.3846,7.4758
2025,4,16,6.7584,7.3193
2025,4,17,5.1878,7.0896
2025,4,18,2.1238,6.7786
2025,4,19,3.7682,6.9499
2025,4,20,5.8414,7.0238
2025,4,21,5.5138,7.5026
2025,4,22,6.1169,7.4009
2025,4,23,5.8644,6.9667
2025,4,24,5.9206,7.3838
2025,4,25,2.4998,6.8088
2025,4,26,2.2481,6.6662
2025,4,27,2.1194,6.5954
2025,4,28,4.8744,6.6132
2025,4,29,6.3542,6.8438
2025,4,30,6.3602,7.0903
2025,5,1,3.5664,6.523
2025,5,2,6.7668,7.013
2025,5,3,5.1962,7.1676
2025,5,4,5.3618,7.1798
2025,5,5,5.3309,7.3327
2025,5,6,3.7956,7.3238
2025,5,7,1.6867,7.2871
2025,5,8,3.5462,6.8206
2025,5,9,3.2304,6.9466
2025,5,10,3.8378,7.0015
2025,5,11,4.601,6.7147
2025,5,12,7.3774,7.7501
2025,5,13,6.1759,7.1054
2025,5,14,6.0756,7.4777
2025,5,15,6.6785,7.6104
2025,5,16,5.6815,7.6438
2025,5,17,5.7514,7.5876
2025,5,18,5.1497,7.4573
2025,5,19,4.619,7.565
2025,5,20,5.299,7.632
2025,5,21,6.2978,7.5686
2025,5,22,6.8179,7.6339
2025,5,23,5.3244,7.5634
2025,5,24,4.194,7.3212
2025,5,25,2.2471,6.8009
2025,5,26,3.4704,6.8532
2025,5,27,4.8876,6.7243
2025,5,28,2.9057,6.9895
2025,5,29,1.9176,7.1755
2025,5,30,2.1024,6.5352
2025,5,31,3.7207,7.3776
2025,6,1,5.2831,7.5727
2025,6,2,5.1641,7.4174
2025,6,3,4.157,6.9094
2025,6,4,1.4114,6.9835
2025,6,5,3.7733,7.2185
2025,6,6,5.8385,7.3356
2025,6,7,6.9876,7.535
2025,6,8,6.9034,7.554
2025,6,9,6.7992,7.6702
2025,6,10,7.0397,7.7803
2025,6,11,5.2613,7.5458
2025,6,12,5.0431,7.4206
2025,6,13,4.4837,7.427
2025,6,14,4.853,7.2686
2025,6,15,3.8556,7.4854
2025,6,16,4.9298,7.6022
2025,6,17,1.5955,7.475
2025,6,18,4.7105,7.3402
2025,6,19,5.863,7.5814
2025,6,20,4.4016,7.5216
2025,6,21,6.293,7.6687
2025,6,22,6.4056,7.7671
2025,6,23,6.7603,7.7158
2025,6,24,6.6751,7.7899
2025,6,25,7.2634,7.7472
2025,6,26,3.7378,7.5034
2025,6,27,4.3469,7.6159
2025,6,28,3.504,7.6231
2025,6,29,5.6806,7.6505
2025,6,30,3.5323,7.5206
2025,7,1,2.5128,7.3243
2025,7,2,6.216,7.627
2025,7,3,5.802,7.3286
2025,7,4,6.8981,7.4225
2025,7,5,6.1954,7.5595
2025,7,6,6.3475,7.542
2025,7,7,6.7522,7.351
2025,7,8,5.8817,7.3826
2025,7,9,5.0698,7.1837
2025,7,10,0.7529,6.9254
2025,7,11,3.2371,7.0987
2025,7,12,4.1052,7.2893
2025,7,13,6.221,7.289
2025,7,14,5.9657,7.4064
2025,7,15,4.7518,7.2814
2025,7,16,6.7229,7.4234
2025,7,17,6.5028,7.398
2025,7,18,3.2054,6.9463
2025,7,19,4.4311,7.14
2025,7,20,1.1844,7.067
2025,7,21,1.4011,7.0162
2025,7,22,4.0483,7.1777
2025,7,23,5.351,7.1186
2025,7,24,6.264,7.5041
2025,7,25,7.0049,7.4597
2025,7,26,7.2528,7.3925
2025,7,27,6.6989,7.2816
2025,7,28,4.2648,7.2103
2025,7,29,3.8102,6.8354
2025,7,30,4.5245,7.1023
2025,7,31,4.2449,7.0786
2025,8,1,5.5565,7.0992
2025,8,2,0.9413,7.0644
2025,8,3,1.2062,7.1623
2025,8,4,0.4562,7.0678
2025,8,5,0.6098,6.8628
2025,8,6,1.9858,7.0656
2025,8,7,6.1416,7.3104
2025,8,8,6.9451,7.4206
2025,8,9,6.9454,7.423
2025,8,10,6.4481,7.471
2025,8,11,4.656,7.2506
